tmdb_id,adult,belongs_to_collection,collection_id,budget,genres,overview,production_company_id,production_company_name,release_month,release_year,revenue,tagline,director,actor_0_name,actor_0_id,actor_0_gender,actor_1_name,actor_1_id,actor_1_gender,actor_2_name,actor_2_id,actor_2_gender,actor_3_name,actor_3_id,actor_3_gender,actor_4_name,actor_4_id,actor_4_gender
5683,False,True,179244,6000000,"['Comedy', 'Adventure']","The eccentric and childish Pee-wee Herman embarks on a big adventure when his beloved bicycle is stolen. Armed with information from a fortune-teller and a relentless obsession with his prized possession, Pee-wee encounters a host of odd characters and bizarre situations as he treks across the country to recover his bike.",1951,Aspen Film Society,7,1985,40900000,The story of a rebel and his bike.,Tim Burton,Paul Reubens,5129,2,Elizabeth Daily,15274,1,Mark Holton,44818,2,Diane Salinger,5131,1,Judd Omen,44819,2
922,False,False,,9000000,"['Drama', 'Fantasy', 'Western']",A fatally wounded white man is found by an outcast Native American who prepares him for the afterlife.,182,JVC,12,1995,103800000,It is preferable not to travel with a dead man.,Jim Jarmusch,Johnny Depp,85,2,Gary Farmer,15439,2,Crispin Glover,1064,2,Lance Henriksen,2714,2,Michael Wincott,7486,2
2669,False,False,,25000000,"['Action', 'Drama', 'History']","The familiar story of Lieutenant Bligh, whose cruelty leads to a mutiny on his ship. This version follows both the efforts of Fletcher Christian to get his men beyond the reach of British retribution, and the epic voyage of Lieutenant Bligh to get his loyalists safely to East Timor in a tiny lifeboat.",10308,Dino De Laurentiis Company,5,1984,8613462,"After 200 years, the truth behind the legend.",Roger Donaldson,Mel Gibson,2461,2,Anthony Hopkins,4173,2,Laurence Olivier,3359,2,Edward Fox,9126,2,Daniel Day-Lewis,11856,2
459151,False,True,519457,82000000,"['Animation', 'Comedy', 'Adventure', 'Family']",The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,521,DreamWorks Animation,7,2021,146745280,Playtime is over.,,Alec Baldwin,7447,2,James Marsden,11006,2,Amy Sedaris,12110,1,Ariana Greenblatt,1767250,1,Jeff Goldblum,4785,2
3090,False,False,,3800000,"['Adventure', 'Drama', 'Western']","Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.",174,Warner Bros. Pictures,1,1948,4307000,"The nearer they get to their treasure, the farther they get from the law.",John Huston,Humphrey Bogart,4110,2,Walter Huston,19020,2,Tim Holt,14517,2,Bruce Bennett,30303,2,Barton MacLane,14451,2
23398,False,True,167613,75000000,"['Comedy', 'Family', 'Animation', 'Fantasy', 'Music']","Pop sensations Alvin, Simon and Theodore end up in the care of Dave Seville's twenty-something nephew Toby. The boys must put aside music super stardom to return to school, and are tasked with saving the school's music program by winning the $25,000 prize in a battle of the bands. But the Chipmunks unexpectedly meet their match in three singing chipmunks known as The Chipettes - Brittany, Eleanor and Jeanette. Romantic and musical sparks are ignited when the Chipmunks and Chipettes square off.",711,Fox 2000 Pictures,12,2009,443140005,The Boys are back in town... and they have competition.,Betty Thomas,Zachary Levi,69899,2,David Cross,212,2,Jason Lee,11662,2,Justin Long,15033,2,Matthew Gray Gubler,5661,2
1248,False,False,,50000000,"['Crime', 'Drama', 'Thriller', 'Horror']","The story of the early, murderous roots of the cannibalistic killer, Hannibal Lecter – from his hard-scrabble Lithuanian childhood, where he witnesses the repulsive lengths to which hungry soldiers will go to satiate themselves, through his sojourn in France, where as a med student he hones his appetite for the kill.",10308,Dino De Laurentiis Company,2,2007,82169884,It started with revenge.,Peter Webber,Gaspard Ulliel,16790,2,Aaran Thomas,16789,0,Gong Li,643,1,Dominic West,17287,2,Rhys Ifans,7026,2
526,False,False,,20000000,"['Adventure', 'Comedy', 'Fantasy']","Captain Etienne Navarre is a man on whose shoulders lies a cruel curse. Punished for loving each other, Navarre must become a wolf by night whilst his lover, Lady Isabeau, takes the form of a hawk by day. Together, with the thief Philippe Gaston, they must try to overthrow the corrupt Bishop and in doing so break the spell.",174,Warner Bros. Pictures,3,1985,18432000,No force in Heaven will release them. No power on Earth can save them.,Richard Donner,Matthew Broderick,4756,2,Rutger Hauer,585,2,Michelle Pfeiffer,1160,1,Alfred Molina,658,2,John Wood,8937,2
8355,False,True,8354,90000000,"['Animation', 'Comedy', 'Family', 'Adventure']","Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.",9383,Blue Sky Studios,6,2009,886686817,You Won't Believe Your Ice!,Carlos Saldanha,Ray Romano,15757,2,John Leguizamo,5723,2,Denis Leary,5724,2,Queen Latifah,15758,1,Simon Pegg,11108,2
14342,False,False,,30000000,"['Adventure', 'Comedy', 'Western']","Two hapless explorers lead an ill-fated 1804 expedition through the Pacific Northwest in a hopeless, doomed effort to reach the Pacific Ocean before Lewis and Clark.",813,Di Novi Pictures,5,1998,6100000,Almost History... Almost Legends... Mostly Ridiculous.,Chad Stahelski,Chris Farley,58198,2,Matthew Perry,14408,2,Bokeem Woodbine,71913,2,Barry Del Sherman,8214,2,Eugene Levy,26510,2
9641,False,True,114783,60000000,"['Comedy', 'Family', 'Adventure']","Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children, headed by Eugene Levy,",25,20th Century Fox,12,2005,129181830,Same Big Family... Even Bigger Adventure.,Shawn Levy,Steve Martin,67773,2,Eugene Levy,26510,2,Bonnie Hunt,5149,1,Tom Welling,11824,2,Piper Perabo,15555,1
10339,False,False,,4500000,"['Adventure', 'Drama']","In 1841, young Ishmael signs up for service aboard the Pequod, a whaler sailing out of New Bedford. The ship is under the command of Captain Ahab, a strict disciplinarian who exhorts his men to find Moby Dick, the great white whale. Ahab lost his his leg to that creature and is desperate for revenge. As the crew soon learns, he will stop at nothing to gain satisfaction.",14373,Moulin Productions Inc.,6,1956,10400000,The man – The whale – The vengeance – The mightiest adventure ever seen!,Freddie Francis,Gregory Peck,8487,2,Richard Basehart,5403,2,Leo Genn,29655,2,James Robertson Justice,11130,2,Harry Andrews,19463,2
11135,False,True,57971,38000000,"['Animation', 'Adventure', 'Family', 'Fantasy']","A lawless poacher wants to capture a majestic and rare golden eagle, so he kidnaps the boy who knows where to find the bird. Not to worry -- the Rescue Aid Society's top agents, heroic mice Miss Bianca and Bernard, fly to Australia to save the day. Accompanying the fearless duo are bumbling albatross Wilbur and local field operative Jake the Kangaroo Rat.",2,Walt Disney Pictures,11,1990,47400000,Hang on for the most thrilling ride of your life!,Aaron Blaise,Bob Newhart,64930,2,Eva Gabor,44714,1,John Candy,7180,2,Tristan Rogers,94962,2,Adam Ryen,122605,2
15035,False,False,,1200000,"['Animation', 'Fantasy', 'Science Fiction']","In this animated tale, a tiny village is destroyed by a surging glacier, which serves as the deadly domain for the evil Ice Lord, Nekron. The only survivor is a young warrior, Larn, who vows to avenge this act of destruction. The evil continues, however, as Nekron's palace of ice heads straight towards Fire Keep, the great fortress ruled by the good King Jarol. When Jarol's beautiful daughter, Teegra, is abducted by Nekron's sub-human ape-like creatures, Larn begins a daring search for her. What results is a tense battle between good and evil, surrounded by the mystical elements of the ancient past.",10318,Polyc International BV,3,1983,760883,It's a magical world you'll never want to leave.,Ralph Bakshi,Randy Norton,91620,0,Cynthia Leake,91621,1,Steve Sandor,15999,2,Sean Hannon,91622,0,Leo Gordon,95082,2
11176,False,False,,8000000,"['Comedy', 'Adventure', 'Music', 'Family']",A Hollywood agent persuades Kermit the Frog to pursue a career in Hollywood. On his way there he meets his future muppet crew while being chased by the desperate owner of a frog-leg restaurant!,1155,ITC Entertainment,6,1979,65200000,More entertaining than humanly possible!,Jim Henson,Jim Henson,55983,2,Frank Oz,7908,2,Jerry Nelson,68455,2,Richard Hunt,68456,2,Dave Goelz,64181,2
16523,False,False,,100000000,"['Family', 'Fantasy', 'Drama', 'Adventure']","Max imagines running away from his mom and sailing to a far-off land where large talking beasts—Ira, Carol, Douglas, the Bull, Judith and Alexander—crown him as their king, play rumpus, build forts and discover secret hideaways.",174,Warner Bros. Pictures,10,2009,100140916,There's one in all of us.,Steven Soderbergh,Max Records,80576,2,Catherine Keener,2229,1,James Gandolfini,4691,2,Lauren Ambrose,54470,1,Catherine O'Hara,11514,1
504827,False,False,,38000000,"['Animation', 'Adventure', 'Comedy']","When a ruptured water main creates an enormous sinkhole right in front of Bob's Burgers, it blocks the entrance indefinitely and ruins the Belchers’ plans for a successful summer. While Bob and Linda struggle to keep the business afloat, the kids try to solve a mystery that could save their family's restaurant. As the dangers mount, these underdogs help each other find hope and fight to get back behind the counter, where they belong.",127928,20th Century Studios,5,2022,34148750,Let's get this patty started.,Bernard Derriman,H. Jon Benjamin,185773,2,Kristen Schaal,109869,1,John Roberts,1251981,2,Dan Mintz,224512,2,Eugene Mirman,1217563,2
11943,False,False,,3100000,"['Adventure', 'Western']",A mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by Indians when he proves to be the match of their warriors in one-to-one combat on the early frontier.,12273,Sanford Productions (III),9,1972,44700000,Some say he's dead...some say he never will be.,Sydney Pollack,Robert Redford,4135,2,Will Geer,70990,2,Delle Bolton,70991,1,Josh Albee,70992,2,Joaquín Martínez,84240,2
