tmdb_id,adult,belongs_to_collection,collection_id,budget,genres,overview,production_company_id,production_company_name,release_month,release_year,revenue,tagline,director,actor_0_name,actor_0_id,actor_0_gender,actor_1_name,actor_1_id,actor_1_gender,actor_2_name,actor_2_id,actor_2_gender,actor_3_name,actor_3_id,actor_3_gender,actor_4_name,actor_4_id,actor_4_gender
122331,False,False,,528000,"['History', 'Romance']","A nobleman studying for the priesthood abandons his vocation in 18th Century France when he falls in love with a beautiful, but reluctant, courtesan.",174,Warner Bros. Pictures,8,1927,1037000,To love her meant-disaster...he fought the world and wrecked his life!,Alan Crosland,John Barrymore,29578,2,Dolores Costello,14515,1,Warner Oland,13342,2,Sam De Grasse,29952,2,Holmes Herbert,29600,2
43083,False,False,,2745000,"['Comedy', 'History']","When ancient Sodom is doomed to destruction due to its people's corrupt ways, Lot is the only righteous man destined to be spared.",16,United King Films,8,2010,5850000,,Adam Sanderson,Eyal Kitzis,129233,2,Dov Navon,95540,0,Eli Finish,129234,0,Tal Friedman,129238,0,Alma Zack,129240,1
144613,False,False,,343000,['Drama'],"George Bryan Brummel, a British military officer, loves Lady Margery, the betrothed of Lord Alvanley. Despite her own desperate love for Brummel, she submits to family pressure and marries Lord Alvanley. Brummel, broken-hearted, embarks upon a life of revelry.",174,Warner Bros. Pictures,3,1924,495000,...the Most Beautiful Romance in all History,Frank R. Strayer,John Barrymore,29578,2,Mary Astor,13992,1,Willard Louis,565354,2,Carmel Myers,108102,1,Irene Rich,14871,1
92474,False,False,,2000000,['History'],"""1895"" tells the story of the resistance against the Japanese invasion in 1895.",,,11,2008,1000000,1895 in Formosa,Hung Chih-Yu,James Wen,1247109,2,Cheryl Yang,1247111,1,Ivelyn Lee,2125408,1,,,,,,
189365,False,False,,16300000,['History'],"Revolution in Spain, around the events of 2 May 1808, when the people of Madrid rise up in rebellion against French occupation.",10015,TeleMadrid,10,2008,2800000,,José Luis Garci,Quim Gutiérrez,34018,2,Paula Echevarría,225946,1,Tina Sainz,97690,1,Lucía Jiménez,74942,1,Natalia Millán,137619,1
1161406,False,False,,2169000,"['Action', 'Drama', 'History']","Set in 1739, Nader Shah's undefeated army is attacked by Sikh rebellions. Nadar demands their arrest to no avail. Five civilians are hired to play Sikh rebels but over time, they learn the Sikh way.",101786,Vehli Janta Films,8,2023,16367572,,Sharan Art,Tarsem Jassar,1919374,2,Simi Chahal,1823199,1,Gurpreet Ghuggi,77240,2,Karamjit Anmol,1372226,2,Baninder Bunny,2002308,0
369126,False,False,,3500000,"['Adventure', 'History', 'Mystery']","Detective story set up in the time and place of young Pushkin, at Tsarskosel'sky Liceum.",5630,Non-Stop Productions,12,2007,2490500,,Andres Puustusmaa,Stas Belozerov,1537946,0,Stepan Balakshin,1537947,0,Ivan Makarevich,224488,2,Aleksandr Bykovsky,631719,2,Sergey Druzyak,1283256,2
921543,False,False,,75000,"['Drama', 'War', 'History']",,167090,Fitaş Film,1,1951,100000,,Baha Gelenbevi,Cüneyt Gökçer,1054333,2,Ayla Karaca,2479322,1,Cahit Irgat,1320036,2,Mesiha Yelda,1749776,0,Münir Özkul,556048,2
530388,False,False,,10000,"['Comedy', 'Drama']",A comedy of the tragic life of someone who must live like the people around him despite his own preference. The Human Comedy is a comedy narrative of the tragic life of a person who finds himself doing as the Romans do unwillingly.,23698,Hedayat Film,6,2017,10000,,,Niki Karimi,545088,1,Houman Seyyedi,1240285,2,Hasti Mahdavifar,1861914,1,Bahare Kianafshar,1301138,1,Leila Zare,935125,1
96589,False,False,,260553,"['Drama', 'History']","""Caracremada"" (""Burnface"" in Catalan), a nickname given by the Spanish Civil Guard to Ramon Vila Capdevila, reflects about the libertarian resistance against Franco's regime through the last active guerrilla fighter. In 1951 the CNT ordered the retreat of its militants; however Ramon Vila remained in the woods of inland Catalonia where he restarted the fight operating on his own.",10077,Cromosoma TV produccions,12,2010,20735,,Lluís Galter,Lluís Soler,1077758,2,Domènec Bautista,1399932,0,Carles Garcia,3552944,0,Andreu Carandell,1399934,0,Aina Calpe,1399933,0
