tmdb_id,adult,belongs_to_collection,collection_id,budget,genres,overview,production_company_id,production_company_name,release_month,release_year,revenue,tagline,director,actor_0_name,actor_0_id,actor_0_gender,actor_1_name,actor_1_id,actor_1_gender,actor_2_name,actor_2_id,actor_2_gender,actor_3_name,actor_3_id,actor_3_gender,actor_4_name,actor_4_id,actor_4_gender
34563,False,False,,14000000,['Comedy'],"The weeks leading up to a young couple's wedding is comic and stressful, especially as their respective fathers try to lay to rest their feud.",55015,Pointe Studios,3,2010,21409028,To have and to hold... 'Til dads do us part.,Rick Famuyiwa,Forest Whitaker,2178,2,America Ferrera,59174,1,Carlos Mencia,87588,2,Regina King,9788,1,Lance Gross,112566,2
16129,False,False,,2300000,"['Comedy', 'Romance', 'Drama']","Various citizens of Toronto anxiously await the end of the world, which is occurring at the stroke of midnight on New Year's Day.",3141,Cineplex,10,1998,591165,It's not the end of the world... there's still six hours left.,Reginald Harkema,Don McKellar,20173,2,Sandra Oh,25540,1,Roberta Maxwell,10362,1,Robin Gammell,70440,2,Sarah Polley,98,1
42103,False,False,,3000000,"['Comedy', 'Drama', 'Romance']","In a 1966 New Jersey high school, Jill and new student Sheik from the other side of the tracks make their way in a first love romance.",2957,Double Play,3,1983,1867792,There's the first one. There's the right one. And there's the one you never forget.,Jan Sebastian Ballhaus,Rosanna Arquette,2165,1,Vincent Spano,147119,2,Joanna Merlin,11903,1,Jack Davidson,169073,2,Nick Ferrari,1408518,2
43824,False,False,,1200000,"['Drama', 'Romance', 'War']","On the eve of World War II, a British officer revisits Waterloo Bridge and recalls the young man he was at the beginning of World War I and the young ballerina he met just before he left for the front. Myra stayed with him past curfew and is thrown out of the corps de ballet. She survives on the streets of London, falling even lower after she hears her true love has been killed in action. But he wasn't killed. Those terrible years were nothing more than a bad dream is Myra's hope after Roy finds her and takes her to his family's country estate.",21,Metro-Goldwyn-Mayer,5,1940,2500000,"""Gone With the Wind's"" Tempestuous ""Scarlett O'Hara""! Romantic Robert Taylor! Exciting Together!",Mervyn LeRoy,Vivien Leigh,10538,1,Robert Taylor,82216,2,Lucile Watson,83260,1,Virginia Field,83477,1,Maria Ouspenskaya,14873,1
85430,False,False,,1000000,"['Comedy', 'Romance']","Two real-life lesbian actresses meet by chance when they are cast as lovers in a local stage play, and end up actually falling in love. Robin, who is married to her girlfriend for half a dozen years, and Lacie, someone who never had a lasting relationship, are both cast to play lesbian lovers in a Los Angeles stage play. Innocently, the stage director, Gabriel runs the actresses through a series of rehearsals designed to ""bring out the intimacy"" in each performer. Soon the two women find themselves increasingly and undeniably attracted to each other and overcome with desire. They must ask themselves whether this relationship is manufactured, created for the sake of the ""girl play"", or is true love.",39820,Goff-Kellam Productions,7,2004,11522,"Two Women, One Love, Dozens Of Stories",Lee Friedlander,Lacie Harmon,932045,0,Robin Greenspan,932046,0,Mink Stole,9292,1,Dom DeLuise,6844,2,Katherine Randolph,557545,1
10520,False,False,,1000000,['Comedy'],"High School grad and all American gal, Anna, finds her purpose and herself after she hooks up with the radical feminists in The Itty Bitty Titty Committee.",93425,Power Up Films,9,2007,18479,Every generation needs a new revolution,Jamie Babbit,Melonie Diaz,53936,1,Nicole Vicius,18516,1,Guinevere Turner,32030,1,Carly Pope,43903,1,Daniela Sea,36551,3
4592,False,False,,15000000,"['Comedy', 'Romance']",A young woman escapes her wildly eccentric family in search for a life of normalcy.,51765,Carolina Torn Asunder Inc.,7,2003,308641,,Marleen Gorris,Julia Stiles,12041,1,Alessandro Nivola,4941,2,Shirley MacLaine,4090,1,Mika Boorem,21027,1,Azura Skye,31715,1
16232,False,False,,30000000,"['Comedy', 'Drama']","Aging baseball star who goes by the nickname, Mr. 3000, finds out many years after retirement that he didn't quite reach 3,000 hits. Now at age 47 he's back to try and reach that goal.",7405,Dimension Films,6,2004,21800000,Big league. Big mouth. Big time.,Frank Marshall,Bernie Mac,1897,2,Angela Bassett,9780,1,Michael Rispoli,18313,2,Brian J. White,31137,2,Dondré Whitfield,103944,2
51515,False,False,,36000000,"['Drama', 'Romance']","Martin and Hazel Quarrier are small-town fundamentalist missionaries sent to the jungles of South America to convert the Indians. Their remote mission was previously run by the Catholics, before the natives murdered them all. They are sent by the pompous Leslie Huben, who runs the missionary effort in the area but who seems more concerned about competing with his Catholic 'rivals' than in the Indians themselves. Hazel is terrified of the Indians while Martin is fascinated. Soon American pilot Lewis Moon joins the Indian tribe but is attracted by Leslie's young wife, Andy. Can the interaction of these characters and cultures, and the advancing bulldozers of civilization, avoid disaster?",33,Universal Pictures,12,1991,1345903,"An adventure beyond the limits of civilization, faith and passion.",Héctor Babenco,Tom Berenger,13022,2,John Lithgow,12074,2,Daryl Hannah,589,1,Aidan Quinn,18992,2,Tom Waits,2887,2
70881,False,False,,1152000,"['History', 'Drama', 'Romance']",In 19th century Russia a woman in a respectable marriage to a senior statesman must grapple with her love for a dashing soldier.,21,Metro-Goldwyn-Mayer,8,1935,1439000,THESE TWO LOVED...and the world stood aghast!,Clarence Brown,Greta Garbo,19549,1,Fredric March,13576,2,Freddie Bartholomew,80567,2,Maureen O'Sullivan,41516,1,May Robson,13816,1
21570,False,False,,2800000,"['Drama', 'Romance']","A poor young woman, who dreams of Bollywood fame, is caught in a love triangle between her childhood friend and a famous actor.",10822,Jhamu Sughand Productions,9,1995,14000000,,Ram Gopal Varma,Aamir Khan,52763,2,Urmila Matondkar,86075,1,Jackie Shroff,86014,2,Gulshan Grover,42208,2,Avtar Gill,140683,2
